Date,pH,ORP,Temp,DO,EC,NaN
2019-08-04 10:51:42,3.815,239.6,23.344,10.93,9.00,
2019-09-22 15:49:17,3.854,398.6,20.430,11.02,9.22,
2019-09-22 15:49:47,3.854,398.6,20.430,11.02,9.22,
2019-09-25 17:45:49,3.832,482.5,20.931,10.78,9.48,
2019-09-26 17:45:49,3.832,482.5,20.931,10.78,9.48,
2019-09-27 17:45:49,3.832,482.5,20.931,10.78,9.48,
2019-09-28 17:45:49,3.832,482.5,20.931,10.78,9.48,
2019-10-20 17:45:49,3.832,482.5,20.931,10.78,9.48,
2019-10-08 18:59:28,3.83,292.0,17.5,10.9,8.85,
2019-10-08 18:59:41,3.83,293.0,17.5,10.9,8.98,
2019-10-08 18:59:53,3.82,295.0,17.5,10.9,8.85,
2019-10-08 19:00:06,3.82,296.0,17.5,10.9,8.85,
2019-10-08 19:00:18,3.82,298.0,17.5,10.9,8.98,
2019-10-08 19:00:31,3.81,300.0,17.5,10.9,8.85,
2019-10-08 19:00:43,3.81,302.0,17.5,10.9,8.85,
2019-10-08 19:00:56,3.81,303.0,17.5,10.9,8.71,
